match_id,season_id,match_date,venue,city,team1,team2,toss_winner,toss_decision,match_winner,win_by_runs,win_by_wickets,result,player_name
1001349,2017,2017-02-17,Melbourne Cricket Ground,Unknown,Australia,Sri Lanka,Sri Lanka,field,Sri Lanka,0,5,normal,DAS Gunaratne
1001351,2017,2017-02-19,"Simonds Stadium, South Geelong",Victoria,Australia,Sri Lanka,Sri Lanka,field,Sri Lanka,0,2,normal,DAS Gunaratne
1001353,2017,2017-02-22,Adelaide Oval,Unknown,Australia,Sri Lanka,Sri Lanka,field,Australia,41,0,normal,A Zampa
1004729,2016,2016-09-05,"Bready Cricket Club, Magheramason",Londonderry,Ireland,Hong Kong,Hong Kong,bat,Hong Kong,40,0,normal,
1007655,2016,2016-06-18,Harare Sports Club,Unknown,Zimbabwe,India,India,field,Zimbabwe,2,0,normal,E Chigumbura
1007657,2016,2016-06-20,Harare Sports Club,Unknown,Zimbabwe,India,Zimbabwe,bat,India,0,10,normal,BB Sran
1007659,2016,2016-06-22,Harare Sports Club,Unknown,Zimbabwe,India,Zimbabwe,field,India,3,0,normal,KM Jadhav
1019979,2017,2017-01-03,McLean Park,Napier,New Zealand,Bangladesh,Bangladesh,bat,New Zealand,0,6,normal,KS Williamson
1019981,2017,2017-01-06,Bay Oval,Mount Maunganui,New Zealand,Bangladesh,Bangladesh,field,New Zealand,47,0,normal,C Munro
1019983,2017,2017-01-08,Bay Oval,Mount Maunganui,New Zealand,Bangladesh,Bangladesh,field,New Zealand,27,0,normal,CJ Anderson
1020029,2017,2017-02-17,Eden Park,Auckland,New Zealand,South Africa,New Zealand,field,South Africa,78,0,normal,Imran Tahir
1031431,2017,2017-06-21,The Rose Bowl,Southampton,England,South Africa,South Africa,bat,England,0,9,normal,JM Bairstow
1031433,2017,2017-06-23,County Ground,Taunton,England,South Africa,England,field,South Africa,3,0,normal,CH Morris
1031435,2017,2017-06-25,Sophia Gardens,Cardiff,England,South Africa,South Africa,field,England,19,0,normal,DJ Malan
1031665,2017,2017-09-16,Riverside Ground,Chester-le-Street,West Indies,England,England,field,West Indies,21,0,normal,SP Narine
1034825,2017,2017-01-26,Green Park,Kanpur,India,England,England,field,England,0,7,normal,MM Ali
1034827,2017,2017-01-29,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,England,England,field,India,5,0,normal,JJ Bumrah
1034829,2017,2017-02-01,M Chinnaswamy Stadium,Bangalore,India,England,England,field,India,75,0,normal,YS Chahal
1041615,2016,2016-08-27,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,West Indies,India,field,West Indies,1,0,normal,E Lewis
1041617,2016,2016-08-28,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,West Indies,India,field,,0,0,no result,
1043989,2017,2017-02-17,Melbourne Cricket Ground,Unknown,Australia,New Zealand,New Zealand,field,Australia,40,0,normal,EJ Villani
1043991,2017,2017-02-19,"Simonds Stadium, South Geelong",Victoria,Australia,New Zealand,Australia,field,New Zealand,8,0,normal,AM Peterson
1043993,2017,2017-02-22,Adelaide Oval,Unknown,Australia,New Zealand,New Zealand,bat,New Zealand,47,0,normal,SW Bates
1044211,2016,2016-09-27,Sinhalese Sports Club Ground,Colombo,Sri Lanka,Australia,Australia,field,Australia,0,10,normal,KM Beams
1050217,2016,2016-09-23,Dubai International Cricket Stadium,Unknown,Pakistan,West Indies,Pakistan,field,Pakistan,0,9,normal,Imad Wasim
1050219,2016,2016-09-24,Dubai International Cricket Stadium,Unknown,Pakistan,West Indies,West Indies,field,Pakistan,16,0,normal,Sarfraz Ahmed
1050221,2016,2016-09-27,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,West Indies,Pakistan,field,Pakistan,0,8,normal,Imad Wasim
1050615,2016,2016-11-21,Saxton Oval,Nelson,New Zealand,Pakistan,New Zealand,bat,New Zealand,14,0,normal,
1065348,2016,2016-12-04,Asian Institute of Technology Ground,Bangkok,India,Pakistan,India,bat,India,17,0,normal,M Raj
1072316,2018,2018-02-03,Sydney Cricket Ground,Unknown,New Zealand,Australia,Australia,field,Australia,0,7,normal,B Stanlake
1072317,2018,2018-02-07,Bellerive Oval,Hobart,England,Australia,Australia,field,Australia,0,5,normal,GJ Maxwell
1072318,2018,2018-02-10,Melbourne Cricket Ground,Unknown,England,Australia,Australia,field,Australia,0,7,normal,KW Richardson
1072319,2018,2018-02-13,Westpac Stadium,Wellington,New Zealand,England,England,field,New Zealand,12,0,normal,KS Williamson
1072320,2018,2018-02-16,Eden Park,Auckland,New Zealand,Australia,New Zealand,bat,Australia,0,5,normal,DJM Short
1072321,2018,2018-02-18,Seddon Park,Hamilton,England,New Zealand,New Zealand,field,England,2,0,normal,EJG Morgan
1072322,2018,2018-02-21,Eden Park,Auckland,New Zealand,Australia,New Zealand,bat,Australia,19,0,normal,AC Agar
1074957,2017,2017-01-14,Sheikh Zayed Stadium,Abu Dhabi,Hong Kong,Scotland,Scotland,bat,Scotland,24,0,normal,CS MacLeod
1074959,2017,2017-01-15,Sheikh Zayed Stadium,Abu Dhabi,Netherlands,Oman,Oman,bat,Netherlands,0,5,normal,MJG Rippon
1074961,2017,2017-01-16,Sheikh Zayed Stadium,Abu Dhabi,Hong Kong,Oman,Oman,field,Oman,0,7,normal,Bilal Khan
1074964,2017,2017-01-17,Sheikh Zayed Stadium,Abu Dhabi,Netherlands,Scotland,Netherlands,field,Scotland,7,0,normal,JH Davey
1074965,2017,2017-01-18,Dubai International Cricket Stadium,Unknown,United Arab Emirates,Ireland,Ireland,bat,Ireland,24,0,normal,WB Rankin
1074966,2017,2017-01-18,Dubai International Cricket Stadium,Unknown,Hong Kong,Netherlands,Hong Kong,bat,Hong Kong,91,0,normal,Anshuman Rath
1074968,2017,2017-01-19,Dubai International Cricket Stadium,Unknown,Oman,Scotland,Oman,bat,Scotland,0,7,normal,MH Cross
1074970,2017,2017-01-20,Dubai International Cricket Stadium,Unknown,Ireland,Scotland,Scotland,field,Ireland,98,0,normal,GC Wilson
1075507,2017,2017-10-26,Mangaung Oval,Bloemfontein,South Africa,Bangladesh,South Africa,bat,South Africa,20,0,normal,AB de Villiers
1075508,2017,2017-10-29,Senwes Park,Potchefstroom,South Africa,Bangladesh,Bangladesh,field,South Africa,83,0,normal,DA Miller
1077947,2017,2017-03-26,"Kensington Oval, Bridgetown",Barbados,West Indies,Pakistan,Pakistan,field,Pakistan,0,6,normal,Shadab Khan
1077948,2017,2017-03-30,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,Pakistan,West Indies,field,Pakistan,3,0,normal,Shadab Khan
1083449,2017,2017-04-04,R Premadasa Stadium,Colombo,Sri Lanka,Bangladesh,Bangladesh,bat,Sri Lanka,0,6,normal,MDKJ Perera
1083450,2017,2017-04-06,R Premadasa Stadium,Colombo,Sri Lanka,Bangladesh,Bangladesh,bat,Bangladesh,45,0,normal,Shakib Al Hasan
1085495,2017,2017-04-01,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,Pakistan,Pakistan,bat,West Indies,0,7,normal,E Lewis
1085496,2017,2017-04-02,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,Pakistan,Pakistan,field,Pakistan,0,7,normal,Hasan Ali
1086067,2017,2017-11-17,North Sydney Oval,Sydney,England,Australia,Australia,field,Australia,0,6,normal,BL Mooney
1086068,2017,2017-11-19,Manuka Oval,Canberra,England,Australia,England,bat,England,40,0,normal,KH Brunt
1086069,2017,2017-11-21,Manuka Oval,Canberra,Australia,England,Australia,bat,England,0,4,normal,DN Wyatt
1089202,2017,2017-04-12,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,Papua New Guinea,United Arab Emirates,field,United Arab Emirates,0,5,normal,
1089203,2017,2017-04-14,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,Papua New Guinea,Papua New Guinea,field,United Arab Emirates,30,0,normal,
1089243,2017,2017-04-14,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,United Arab Emirates,0,5,normal,
1098211,2017,2017-07-09,"Sabina Park, Kingston",Jamaica,West Indies,India,West Indies,field,West Indies,0,9,normal,E Lewis
1109610,2017,2017-09-06,"R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka,India,India,field,India,0,7,normal,V Kohli
1115798,2017,2017-12-29,Saxton Oval,Nelson,New Zealand,West Indies,West Indies,field,New Zealand,47,0,normal,GD Phillips
1115799,2018,2018-01-01,Bay Oval,Mount Maunganui,New Zealand,West Indies,West Indies,field,,0,0,no result,
1115800,2018,2018-01-03,Bay Oval,Mount Maunganui,New Zealand,West Indies,New Zealand,bat,New Zealand,119,0,normal,C Munro
1115807,2018,2018-01-22,Westpac Stadium,Wellington,Pakistan,New Zealand,New Zealand,field,New Zealand,0,7,normal,C Munro
1115808,2018,2018-01-25,Eden Park,Auckland,Pakistan,New Zealand,Pakistan,bat,Pakistan,48,0,normal,Fakhar Zaman
1115809,2018,2018-01-28,Bay Oval,Mount Maunganui,Pakistan,New Zealand,Pakistan,bat,Pakistan,18,0,normal,Shadab Khan
1117821,2017,2017-09-12,Gaddafi Stadium,Lahore,Pakistan,ICC World XI,ICC World XI,field,Pakistan,20,0,normal,Babar Azam
1117822,2017,2017-09-13,Gaddafi Stadium,Lahore,Pakistan,ICC World XI,Pakistan,bat,ICC World XI,0,7,normal,NLTC Perera
1117824,2017,2017-09-15,Gaddafi Stadium,Lahore,Pakistan,ICC World XI,ICC World XI,field,Pakistan,33,0,normal,Ahmed Shehzad
